,STATE,Year,O3 (in ppm)
718,Louisiana,2009,0.03814716940595123
719,Louisiana,2010,0.04153006947459835
720,Louisiana,2011,0.041108465915689237
721,Louisiana,2012,0.04028232128232128
722,Louisiana,2013,0.03736796792074537
723,Louisiana,2014,0.036772922124315315
724,Louisiana,2015,0.03680709200438116
725,Louisiana,2016,0.03817862796833773
726,Louisiana,2017,0.03694202154951257
727,Louisiana,2018,0.036061706449974605
728,Louisiana,2019,0.03644879403965147
729,Louisiana,2020,0.03497911607576494
730,Maine,1980,0.0390076169749728
731,Maine,1981,0.03721885521885522
732,Maine,1982,0.04107649253731343
733,Maine,1983,0.04481098546042003
734,Maine,1984,0.04509558232931727
735,Maine,1985,0.04614662162162162
736,Maine,1986,0.04033907185628743
737,Maine,1987,0.04285275724843661
738,Maine,1988,0.0499015247776366
739,Maine,1989,0.04270342972427707
740,Maine,1990,0.04146438883541867
741,Maine,1991,0.041939393939393936
742,Maine,1992,0.04011075036075036
743,Maine,1993,0.03833124813821865
744,Maine,1994,0.04040774857762124
745,Maine,1995,0.039219867211440246
746,Maine,1996,0.03868172300329045
747,Maine,1997,0.0413182573994014
748,Maine,1998,0.04292195121951219
749,Maine,1999,0.04212383900928793
750,Maine,2000,0.03806702898550725
751,Maine,2001,0.04150478542760111
752,Maine,2002,0.0407545958564342
753,Maine,2003,0.03981892166836216
754,Maine,2004,0.0374047032474804
755,Maine,2005,0.03771248513674197
756,Maine,2006,0.03643452115812918
757,Maine,2007,0.03705555555555556
758,Maine,2008,0.036348857081820125
759,Maine,2009,0.03528185812931576
760,Maine,2010,0.037271001615508885
761,Maine,2011,0.03547042449547669
762,Maine,2012,0.03661448349307774
763,Maine,2013,0.03661561423650976
764,Maine,2014,0.035515211640211646
765,Maine,2015,0.03552505195105057
766,Maine,2016,0.034997666277712954
767,Maine,2017,0.03625702345019735
768,Maine,2018,0.03716513111268604
769,Maine,2019,0.03644681850199578
770,Maine,2020,0.04004378698224852
771,Maryland,1980,0.03911851126346719
772,Maryland,1981,0.03608420418006431
773,Maryland,1982,0.03827057210031348
774,Maryland,1983,0.0400841046277666
775,Maryland,1984,0.03587398241615109
776,Maryland,1985,0.0413412625800549
777,Maryland,1986,0.040139830508474576
778,Maryland,1987,0.043454545454545454
779,Maryland,1988,0.04545826086956522
780,Maryland,1989,0.03797056052755535
781,Maryland,1990,0.04232695171240162
782,Maryland,1991,0.04931789259353525
783,Maryland,1992,0.04485083498443249
784,Maryland,1993,0.05076918719909374
785,Maryland,1994,0.048246803779877716
786,Maryland,1995,0.04993821571238349
787,Maryland,1996,0.047065925542916234
788,Maryland,1997,0.04975431952662722
