,STATE,Year,NO2 (in ppb)
1165,North Carolina,2010,23.719101123595507
1166,North Carolina,2011,20.796511627906977
1167,North Carolina,2012,19.86696562032885
1168,North Carolina,2013,17.498533724340177
1169,North Carolina,2014,17.57384105960265
1170,North Carolina,2015,15.400493096646944
1171,North Carolina,2016,15.158042959427206
1172,North Carolina,2017,14.62
1173,North Carolina,2018,14.172972972972973
1174,North Carolina,2019,15.814118273841235
1175,North Carolina,2020,17.902051282051282
1176,North Dakota,1980,5.380764163372859
1177,North Dakota,1981,6.1713586291309666
1178,North Dakota,1982,5.490481976508708
1179,North Dakota,1983,5.3853965183752415
1180,North Dakota,1984,5.0644158151932475
1181,North Dakota,1985,6.890955198647506
1182,North Dakota,1986,7.485945485519591
1183,North Dakota,1987,7.089504770558837
1184,North Dakota,1988,5.8654692082111435
1185,North Dakota,1989,6.46741678387248
1186,North Dakota,1990,7.745314752522826
1187,North Dakota,1991,8.431208053691275
1188,North Dakota,1992,9.045797413793103
1189,North Dakota,1993,9.379679144385026
1190,North Dakota,1994,9.715749039692701
1191,North Dakota,1995,9.576226012793176
1192,North Dakota,1996,10.284854099119963
1193,North Dakota,1997,10.637652811735942
1194,North Dakota,1998,11.463353413654618
1195,North Dakota,1999,8.526928675400292
1196,North Dakota,2000,8.745875745875745
1197,North Dakota,2001,8.835513277843837
1198,North Dakota,2002,7.11364433532094
1199,North Dakota,2003,7.708333333333333
1200,North Dakota,2004,7.168326073428749
1201,North Dakota,2005,6.619945272119185
1202,North Dakota,2006,7.8040816326530615
1203,North Dakota,2007,7.486258588382261
1204,North Dakota,2008,7.945437441204139
1205,North Dakota,2009,7.473019880088356
1206,North Dakota,2010,8.244495563588563
1207,North Dakota,2011,7.230819245773732
1208,North Dakota,2012,7.772699197035207
1209,North Dakota,2013,7.270035865666776
1210,North Dakota,2014,7.392165898617512
1211,North Dakota,2015,6.85943600867679
1212,North Dakota,2016,6.111753118844387
1213,North Dakota,2017,6.4506004543979225
1214,North Dakota,2018,6.455291436014328
1215,North Dakota,2019,6.441316614420063
1216,Ohio,1980,46.43000815438978
1217,Ohio,1981,43.96803915922833
1218,Ohio,1982,45.308460471567265
1219,Ohio,1983,45.961393323657475
1220,Ohio,1984,44.36883991429446
1221,Ohio,1985,42.13531468531468
1222,Ohio,1986,40.86141202838999
1223,Ohio,1987,44.782101167315176
1224,Ohio,1988,41.400375058602904
1225,Ohio,1989,41.60434139121855
1226,Ohio,1990,37.58566433566433
1227,Ohio,1991,38.082939406961756
1228,Ohio,1992,36.745477492637775
1229,Ohio,1993,37.484640258690376
1230,Ohio,1994,38.336010709504684
1231,Ohio,1995,33.86483390607102
1232,Ohio,1996,39.60361216730038
1233,Ohio,1997,38.90496083550914
1234,Ohio,1998,40.07596439169139
1235,Ohio,1999,38.156671664167916
1236,Ohio,2000,36.240497076023395
1237,Ohio,2001,37.202097902097904
1238,Ohio,2002,35.586328400281886
1239,Ohio,2003,34.51149825783972
